"state","year","std_score","initiative","init_sigs","std_population","std_citideology","unified","std_income","std_legp_squire","duration","durationsq","durationcb","year_1993","year_1994","year_1995","year_1996","year_1997","year_1998","year_1999","year_2000","year_2001","year_2002","year_2003","year_2004","year_2005","year_2006","year_2007","year_2008","year_2009","year_2010","year_2011","event","billnum","year_2012","year_2013","year_","year_1991","year_1992"
"KS",1993,0.773878812789917,0,0,-0.439585626125336,-0.625053822994232,0,0.136865094304085,-0.713864922523499,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"abortion_consent_1992_201",0,0,0,0,0
"LA",1993,1.79267680644989,0,0,-0.108654208481312,-0.898930847644806,1,-0.489894777536392,-0.426433742046356,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"abortion_consent_1992_201",0,0,0,0,0
"ME",1993,1.75899660587311,1,10,-0.686718761920929,1.13059771060944,0,-0.202937409281731,-0.804200410842896,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,"abortion_consent_1992_201",0,0,0,0,0
"MD",1993,2.19398379325867,0,0,0.0145999332889915,1.24785375595093,1,0.982777118682861,-0.0568793378770351,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,"abortion_consent_1992_201",0,0,0,0,0
"MA",1993,-0.488436698913574,1,2,0.213326394557953,2,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,"abortion_consent_1992_201",0,0,0,0,0
"MS",1993,-0.488436698913574,1,9,-0.42695164680481,-0.732648015022278,0,-0.953095078468323,-0.566043078899384,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"abortion_consent_1992_201",0,0,0,0,0
"MT",1993,2.00807356834412,1,7.5,-0.761473119258881,0.328067183494568,0,-0.411015540361404,-1.00950837135315,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,"abortion_consent_1992_201",0,0,0,0,0
"NE",1993,1.43480813503265,1,8.5,-0.614644527435303,-0.82935494184494,0,0.0610944218933582,-0.196488693356514,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"abortion_consent_1992_201",0,0,0,0,0
"NV",1993,0.974701821804047,1,10,-0.654956042766571,-0.176876977086067,0,0.617911875247955,-0.286824256181717,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,"abortion_consent_1992_201",0,0,0,0,0
"NH",1993,2.3106107711792,0,0,-0.707938194274902,-0.543806791305542,1,0.51591295003891,-1.32978880405426,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,"abortion_consent_1992_201",0,0,0,0,0
"NM",1993,0.696818888187408,0,0,-0.61260187625885,-0.396589756011963,1,-0.533608675003052,-1.17375481128693,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,"abortion_consent_1992_201",0,0,0,0,0
"NY",1993,1.54253900051117,0,0,2.53493809700012,1.43531763553619,0,1.04708516597748,2.62033677101135,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,"abortion_consent_1992_201",0,0,0,0,0
"NC",1993,1.29984366893768,0,0,0.404021412134171,-0.352559506893158,1,-0.0407103635370731,-0.385372072458267,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,"abortion_consent_1992_201",0,0,0,0,0
"ND",1993,2.76663565635681,1,3,-0.799748122692108,0.68241548538208,0,-0.41645547747612,-1.13269317150116,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"abortion_consent_1992_201",0,0,0,0,0
"OH",1993,1.26901125907898,1,8,1.16715610027313,0.023353872820735,0,0.109471000730991,0.977872967720032,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"abortion_consent_1992_201",0,0,0,0,0
"OK",1993,0.907891869544983,1,11.5,-0.308757692575455,-0.991534233093262,1,-0.447735041379929,-0.0650916770100594,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,"abortion_consent_1992_201",0,0,0,0,0
"PA",1993,-0.488436698913574,0,0,1,0.606809914112091,0,0.337349325418472,0.715078711509705,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"abortion_consent_1992_201",0,0,0,0,0
"TX",1993,0.812130749225616,0,0,2.49482083320618,-0.839864909648895,1,-0.124640926718712,0.15664105117321,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"abortion_consent_1992_201",0,0,0,0,0
"VA",1993,1.25399041175842,0,0,0.303759694099426,-0.471061140298843,1,0.596540749073029,-0.377159714698792,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"abortion_consent_1992_201",0,0,0,0,0
"WA",1993,1.06056666374207,1,8,0.0723199620842934,0.273867636919022,1,0.499010384082794,0.0170315690338612,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"abortion_consent_1992_201",0,0,0,0,0
"WV",1993,1.22610008716583,0,0,-0.578550100326538,0.985256493091583,1,-0.670384645462036,-0.65637868642807,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"abortion_consent_1992_201",0,0,0,0,0
"WI",1993,1.14017581939697,0,0,0.0358486697077751,0.583443999290466,0,0.146967723965645,2.16044688224792,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"abortion_consent_1992_201",0,0,0,0,0
"WY",1993,2.27062463760376,1,15,-0.831364572048187,-0.657421469688416,0,0.0142719745635986,-1.14090549945831,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"abortion_consent_1992_201",0,0,0,0,0
"AK",1994,-0.363672941923141,1,10,-0.806876420974731,-0.475415259599686,0,0.892387688159943,0.296250402927399,2,4,8,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"abortion_consent_1992_201",0,0,0,0,0
"AZ",1994,-0.282096654176712,1,12.5,-0.12206893414259,-0.890439689159393,1,-0.177721366286278,-0.0897285640239716,2,4,8,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,"abortion_consent_1992_201",0,0,0,0,0
"IA",1994,0.519721388816833,0,0,-0.384263873100281,-0.324563026428223,0,0.000914466334506869,-0.262187272310257,2,4,8,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"abortion_consent_1992_201",0,0,0,0,0
"KS",1994,0.655536711215973,0,0,-0.435079008340836,-0.968792021274567,0,0.177844986319542,-0.713864922523499,2,4,8,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,"abortion_consent_1992_201",0,0,0,0,0
"LA",1994,-0.277222484350204,0,0,-0.102814942598343,-0.809301376342773,1,-0.380983173847198,-0.426433742046356,2,4,8,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,"abortion_consent_1992_201",0,0,0,0,0
"MS",1994,-0.488436698913574,1,1,-0.42695164680481,-0.732648015022278,0,-0.953095078468323,-0.566043078899384,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,"abortion_consent_1992_201",0,0,0,0,0
"NE",1994,-0.488436698913574,1,8.5,-0.617258906364441,-0.82935494184494,0,0.0846231430768967,-0.196488693356514,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"abortion_consent_1992_201",0,0,0,0,0
"ND",1994,0.295191735029221,1,3,-0.799073457717896,0.344019949436188,0,-0.23436176776886,-1.13269317150116,2,4,8,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,"abortion_consent_1992_201",0,0,0,0,0
"OH",1994,-0.395939439535141,1,8,1.17680525779724,-0.268772900104523,0,0.20626012980938,0.977872967720032,2,4,8,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,"abortion_consent_1992_201",0,0,0,0,0
"PA",1994,-0.488436698913574,0,0,1,0.606809914112091,0,0.337349325418472,0.715078711509705,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"abortion_consent_1992_201",0,0,0,0,0
"TX",1994,-0.390894144773483,0,0,2.57049822807312,-1.118732213974,1,-0.0922869592905045,0.15664105117321,2,4,8,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,"abortion_consent_1992_201",0,0,0,0,0
