fips,policy_num,state,abbrev,stateno1,year_adopted,state_pol_id,year,adopt_policy,fem_dem,religadhrate,norrander_legality,initdif,uni_dem_leg,time,time2,nbrspct,webster,state_policy,dem_gov,rescaledmedincome,rescaledpopsize,policy_name
31,2,Nebraska,NE,27,2010.0,1120,1977,0.0,0.041,0.62369704,2.72,3,0,4,16,0.33333334,0,964,1,1.3823,0.10044373,Ban 20 week to viability
39,2,Ohio,OH,35,1995.0,1464,1977,0.0,0.061,0.48864752,2.78,5,1,4,16,0.0,0,1260,0,1.3616,1.0753505,Ban 20 week to viability
40,2,Oklahoma,OK,36,2011.0,1507,1977,0.0,0.047,0.57118386,2.68,4,1,4,16,0.16666667,0,1297,1,1.6059,0.2885976,Ban 20 week to viability
42,2,Pennsylvania,PA,38,1989.0,1593,1977,0.0,0.043,0.6042964,2.85,0,1,4,16,0.16666667,0,1371,1,1.5083,1.1845073,Ban 20 week to viability
49,2,Utah,UT,44,1990.0,1851,1977,0.0,0.058,0.7770793,2.73,4,0,4,16,0.0,0,1593,1,1.4874,0.1340482,Ban 20 week to viability
4,2,Arizona,AZ,3,2012.0,88,1978,0.0,0.183,0.41209406,2.28,4,0,5,25,0.0,0,76,1,1.5623,0.25288966,Ban 20 week to viability
5,2,Arkansas,AR,4,2013.0,131,1978,0.0,0.026,0.5234593,2.93,5,1,5,25,0.14285715,0,113,1,1.1528,0.2212659,Ban 20 week to viability
6,2,California,CA,5,1987.0,174,1978,0.0,0.071,0.34283087,2.24,6,1,5,25,0.0,0,150,1,1.7349,2.2925825,Ban 20 week to viability
13,2,Georgia,GA,10,2012.0,389,1978,0.0,0.055,0.46865514,2.83,0,1,5,25,0.6,0,335,1,1.3924,0.5289115,Ban 20 week to viability
16,2,Idaho,ID,12,2011.0,475,1978,0.0,0.084,0.5075994,2.61,5,0,5,25,0.0,0,409,1,1.9493,0.08986016,Ban 20 week to viability
18,2,Indiana,IN,14,2011.0,561,1978,0.0,0.063,0.44746515,2.73,0,0,5,25,0.0,0,483,0,1.836,0.5431534,Ban 20 week to viability
20,2,Kansas,KS,16,2011.0,647,1978,0.0,0.076,0.5330022,2.83,0,0,5,25,0.25,0,557,0,1.5907,0.23402143,Ban 20 week to viability
22,2,Louisiana,LA,18,2012.0,733,1978,0.0,0.014,0.5786453,3.02,0,1,5,25,0.0,0,631,1,1.3222,0.4091036,Ban 20 week to viability
31,2,Nebraska,NE,27,2010.0,1120,1978,0.0,0.051,0.62650156,2.72,3,0,5,25,0.33333334,0,964,1,1.4622,0.09359582,Ban 20 week to viability
39,2,Ohio,OH,35,1995.0,1464,1978,0.0,0.064,0.49080825,2.78,5,1,5,25,0.0,0,1260,0,1.4455,1.0768003,Ban 20 week to viability
40,2,Oklahoma,OK,36,2011.0,1507,1978,0.0,0.044,0.57405674,2.68,4,1,5,25,0.16666667,0,1297,1,1.6907,0.29326504,Ban 20 week to viability
42,2,Pennsylvania,PA,38,1989.0,1593,1978,0.0,0.043,0.6060531,2.85,0,1,5,25,0.16666667,0,1371,1,1.5932,1.1852382,Ban 20 week to viability
49,2,Utah,UT,44,1990.0,1851,1978,0.0,0.048,0.7686917,2.73,4,0,5,25,0.0,0,1593,1,1.5791,0.13806546,Ban 20 week to viability
4,2,Arizona,AZ,3,2012.0,88,1979,0.0,0.189,0.4043374,2.28,4,0,6,36,0.0,0,76,1,1.6448,0.26234484,Ban 20 week to viability
5,2,Arkansas,AR,4,2013.0,131,1979,0.0,0.03,0.53167003,2.93,5,1,6,36,0.14285715,0,113,1,1.2214,0.22488295,Ban 20 week to viability
6,2,California,CA,5,1987.0,174,1979,0.0,0.092,0.34375656,2.24,6,1,6,36,0.0,0,150,1,1.8243,2.3297415,Ban 20 week to viability
13,2,Georgia,GA,10,2012.0,389,1979,0.0,0.064,0.46954948,2.83,0,1,6,36,0.6,0,335,1,1.4675,0.5376558,Ban 20 week to viability
16,2,Idaho,ID,12,2011.0,475,1979,0.0,0.084,0.5040802,2.61,5,0,6,36,0.0,0,409,1,2.0473,0.09218008,Ban 20 week to viability
18,2,Indiana,IN,14,2011.0,561,1979,0.0,0.073,0.44764447,2.73,0,0,6,36,0.0,0,483,0,1.9321,0.5461267,Ban 20 week to viability
20,2,Kansas,KS,16,2011.0,647,1979,0.0,0.085,0.53370494,2.83,0,0,6,36,0.25,0,557,1,1.6799,0.2351607,Ban 20 week to viability
22,2,Louisiana,LA,18,2012.0,733,1979,0.0,0.014,0.57618856,3.02,0,1,6,36,0.0,0,631,1,1.3965,0.4147018,Ban 20 week to viability
31,2,Nebraska,NE,27,2010.0,1120,1979,0.0,0.061,0.6293061,2.72,3,0,6,36,0.33333334,0,964,0,1.542,0.086747915,Ban 20 week to viability
