"state","year","adagovideology","citizenideology","medianivoteshare","partydecline","squirescore","incunemp","pctpercapincome","percenturban","ugovd","percentfossilprod","renergyprice11","deregulated","geoneighborlag","ideoneighborlag","premulation1","featureyear","intercept","event","billnum"
"Arkansas",2009,82.9000015258789,44.2000007629395,100,0,0.109999999403954,2.09999990463257,82.0100021362305,52.5,1,71.9205932617188,16.1700000762939,0,0.0553633235394955,0.453287184238434,0,13,1,0,146
"Colorado",2009,90.3000030517578,52.4000015258789,61.9000015258789,1,0.199000000953674,3.29999995231628,106.51000213623,84.5,1,96.7926635742188,15.9799995422363,0,0.108996540307999,0.477508664131165,0.0267379675060511,13,1,0,146
"Connecticut",2009,71.1999969482422,78,75,0,0.195999994874001,2.59999990463257,136.919998168945,87.6999969482422,0,0,24.5699996948242,1,0.086505189538002,0.24567474424839,0.0187165774405003,13,1,0,146
"Delaware",2009,90.3000030517578,77.5999984741211,72.7200012207031,0,0.158999994397163,3,100.150001525879,80.0999984741211,1,0,21.8099994659424,1,0.102076128125191,0.467128038406372,0.0454545468091965,13,1,0,146
"Florida",2009,18.3999996185303,54.4000015258789,100,1,0.209999993443489,4.09999990463257,95.370002746582,89.3000030517578,0,0.809945404529572,22,0,0,0.0795847773551941,0,13,1,0,146
"Georgia",2009,6.59999990463257,44.5999984741211,100,0,0.11599999666214,3.5,87.7099990844727,71.5999984741211,0,0,17.2099990844727,0,0.0346020758152008,0.0588235296308994,0,13,1,0,146
"Hawaii",2009,73.4000015258789,84.0999984741211,86.9400024414062,0,0.261999994516373,2.79999995231628,104.150001525879,91.5,0,0,26.5799999237061,0,0,0.256055355072021,0.0454545468091965,13,1,0,146
"Idaho",2009,13.8000001907349,27.7000007629395,73.7399978637695,0,0.119999997317791,2.70000004768372,79.7399978637695,66.4000015258789,0,0,15.8199996948242,0,0.153979241847992,0.0795847773551941,0,13,1,0,146
"Illinois",2009,93.1999969482422,63.7000007629395,100,0,0.28099998831749,3.59999990463257,105.769996643066,87.8000030517578,1,40.2286148071289,16.2199993133545,1,0.0692041516304016,0.423875421285629,0.0240641701966524,13,1,0,146
"Indiana",2009,26.7999992370605,48.2000007629395,67.4599990844727,0,0.17399999499321,4.59999990463257,85.8300018310547,70.8000030517578,0,84.4060440063477,14.4899997711182,0,0.089965395629406,0.0674740448594093,0,13,1,0,146
"Kansas",2009,55.2000007629395,42.5,69.0699996948242,0,0.140000000596046,2.70000004768372,98.3199996948242,71.4000015258789,0,77.6391448974609,16.4599990844727,0,0.0501730106770992,0.152249127626419,0,13,1,0,146
"Kentucky",2009,73.1999969482422,45,100,0,0.136999994516373,3.70000004768372,82.1900024414062,55.7999992370605,0,97.5205459594727,15.7200002670288,0,0.105536334216595,0.261245667934418,0,13,1,0,146
"Louisiana",2009,41.2999992370605,41.7000007629395,78.5599975585938,0,0.163000002503395,2.20000004768372,93.3399963378906,72.5999984741211,0,88.551872253418,13.1800003051758,0,0.0276816617697477,0.0657439455389977,0,13,1,0,146
"Massachusetts",2009,97.9000015258789,86.3000030517578,100,0,0.280000001192093,2.90000009536743,128.320007324219,91.4000015258789,1,0,22.8700008392334,1,0.148788928985596,0.3217993080616,0.0160427801311016,13,1,0,146
"Michigan",2009,79.0999984741211,61.2000007629395,64.6500015258789,0,0.460999995470047,5.09999990463257,85.9800033569336,74.6999969482422,0,35.3110389709473,17.3600006103516,1,0.0640138387680054,0.320069193840027,0.0347593575716019,13,1,0,146
