billname,original_ap_score,logit_ap_score
unsworn foreign declarations act (2008),0.05191514625916152,0.05106688948433583
"victims of crime act, model",0.05,0.039184111647879764
vouchers,0.1,0.07142857142857142
w_animal_cruelty_felon,0.016946446522757716,0.017116652183559105
w_ec_access_expan,0.05893845524193577,0.07581998589059093
w_educ_biblepubli,0.060532365396249246,0.05451762798283258
w_gayright_publi_accom_genderi,0.07602756240336296,0.07801206216382182
wmd,0.28266032796784246,0.2869838146232426
worksitebanstate,0.12530217175780733,0.12473651921208521
writreq,0.022206830790957754,0.02354652509790166
